previous_assessment_avg,recent_assessment_score,topic_wise_accuracy,quiz_completion_rate,attendance_percentage,assignment_completion_rate,study_session_completion_rate,avg_daily_study_time_minutes,late_submissions_count,integrity_events_count,weak_topics_count,assessment_attempt_count,risk_level
58.02,56.8,54.2,90.43,88.68,94.06,75.52,106.4,0,2,3,11,1
84.23,90.85,86.07,98.35,91.13,88.25,91.86,81.3,5,1,2,8,1
57.48,45.87,51.91,44.05,57.72,29.06,36.01,5.0,8,4,6,13,2
87.48,88.25,84.88,79.34,88.76,77.16,78.48,67.9,3,2,1,8,1
84.72,97.18,85.21,88.25,100.0,85.11,87.53,80.1,2,2,2,9,1
87.59,88.62,87.76,83.46,77.44,81.36,56.34,59.4,5,2,6,12,2
87.5,100.0,88.53,100.0,84.57,80.59,93.65,77.8,4,0,4,7,1
99.5,89.2,93.2,100.0,100.0,97.36,91.98,109.0,0,0,0,6,0
85.21,90.01,90.43,100.0,96.58,96.45,99.36,99.1,4,0,3,8,1
68.32,63.02,63.43,83.68,85.6,87.27,99.19,73.1,4,0,1,13,1
68.13,56.26,65.45,53.13,61.65,41.21,61.8,27.2,4,2,9,6,2
99.5,99.13,100.0,92.0,100.0,90.52,100.0,69.7,1,0,1,6,0
56.08,60.99,57.52,69.48,76.07,74.02,59.36,39.4,7,0,5,11,2
54.42,46.88,53.59,64.19,65.13,54.83,59.24,46.7,3,3,6,3,2
94.33,90.3,89.37,92.56,92.49,87.31,88.22,81.9,3,0,2,11,0
58.87,55.87,60.7,42.24,62.02,39.59,46.64,24.0,5,3,1,5,2
79.65,76.22,80.93,90.65,92.73,100.0,97.88,76.5,1,3,3,4,1
90.07,100.0,99.66,96.99,98.03,96.03,70.39,84.5,2,3,4,6,1
91.27,86.32,94.08,94.28,88.77,89.06,97.59,90.2,2,1,2,5,1
73.77,70.36,73.53,73.27,74.84,71.89,52.22,71.9,4,0,2,12,2
84.03,99.85,100.0,84.04,91.35,77.6,91.22,36.4,3,2,3,2,1
99.5,100.0,100.0,100.0,97.83,85.16,96.67,94.9,2,0,1,10,0
82.22,84.82,88.29,81.64,87.81,77.8,66.44,53.9,3,0,3,4,1
61.99,56.54,58.08,63.67,69.51,57.81,63.88,30.6,2,2,8,10,2
75.01,77.74,74.57,85.38,86.46,79.62,83.98,44.1,1,1,5,7,2
82.19,75.76,80.04,65.91,77.42,78.67,61.57,33.2,2,4,7,8,2
79.22,83.82,76.96,77.23,87.94,64.6,77.55,69.5,4,0,3,2,1
73.17,88.96,79.32,97.53,94.29,98.32,100.0,108.9,1,1,3,13,1
56.36,34.58,47.92,43.8,50.24,57.9,42.1,18.2,1,4,3,3,2
87.28,81.56,89.48,84.58,95.45,92.16,60.13,83.5,3,0,3,6,1
99.5,100.0,100.0,100.0,100.0,100.0,100.0,57.6,0,0,1,8,0
79.39,71.26,76.78,64.09,72.8,84.97,67.3,23.9,2,1,2,3,1
89.85,92.2,89.25,76.12,79.0,67.42,60.26,16.9,2,0,4,9,1
73.42,71.22,79.75,88.01,85.24,82.55,59.67,83.4,0,2,3,13,1
76.67,74.86,69.9,67.51,73.89,65.24,53.14,49.4,4,1,4,9,2
70.82,85.21,70.08,95.8,92.23,84.58,88.22,73.3,1,1,4,13,1
52.94,35.03,48.05,53.58,76.94,60.54,62.98,43.9,2,2,1,6,2
62.89,64.43,63.2,68.46,74.23,68.48,59.01,46.9,2,4,4,9,2
95.73,100.0,96.12,100.0,100.0,100.0,100.0,123.0,0,1,3,7,0
68.6,67.44,60.84,78.69,77.4,71.36,61.88,76.5,3,2,4,7,2
79.88,74.04,74.15,81.92,73.44,67.26,78.91,36.2,1,0,8,2,2
99.5,100.0,100.0,100.0,100.0,91.39,97.07,93.9,3,0,0,5,0
93.17,99.06,100.0,91.83,100.0,98.42,100.0,98.5,0,2,0,9,0
55.37,49.84,56.43,60.86,68.38,56.13,48.29,16.2,7,0,4,7,2
67.74,76.44,67.78,87.33,88.9,94.14,80.28,54.0,2,1,7,8,2
99.5,98.0,97.6,100.0,100.0,100.0,100.0,91.3,0,0,4,9,0
89.47,81.05,84.66,89.9,88.07,80.43,90.4,71.0,3,0,4,5,1
83.52,71.63,76.29,89.6,85.78,84.59,85.91,82.3,0,1,2,13,1
75.95,81.45,75.86,95.43,100.0,94.02,92.96,99.2,3,2,7,11,2
53.05,54.78,53.31,58.46,72.61,55.7,45.91,34.2,2,1,4,4,2
84.47,75.98,75.34,88.63,89.25,72.51,62.5,59.9,1,2,7,11,2
53.66,45.45,55.26,77.47,94.77,74.18,80.29,96.3,5,2,5,11,2
68.92,86.51,75.06,67.07,92.46,86.15,81.85,79.0,2,3,4,6,2
58.1,67.46,59.65,70.95,74.61,76.6,69.1,46.1,9,4,9,3,2
76.85,89.62,75.4,100.0,83.71,79.23,88.88,80.7,2,2,4,8,1
86.76,88.31,90.48,63.66,96.2,72.91,69.35,42.7,5,0,0,12,1
91.31,100.0,90.44,95.26,100.0,100.0,83.91,72.3,2,0,4,3,0
72.27,68.87,72.91,65.66,79.56,65.58,70.43,33.6,2,1,7,5,2
95.41,88.66,89.32,94.21,93.18,89.08,95.22,81.7,2,2,1,9,0
99.5,96.42,98.78,100.0,100.0,100.0,100.0,115.6,2,0,4,8,0
87.54,84.43,81.23,60.9,79.35,63.09,54.16,44.5,3,1,3,11,2
92.54,100.0,94.7,87.67,98.17,75.08,71.91,69.4,6,1,5,7,2
73.19,72.02,72.44,83.92,83.35,72.92,63.03,66.4,4,1,2,5,2
88.23,95.29,91.55,87.7,85.74,74.57,87.51,90.1,4,0,2,10,1
99.5,100.0,100.0,100.0,96.19,100.0,100.0,87.4,1,1,4,8,0
98.05,100.0,100.0,93.66,100.0,87.68,93.31,75.4,3,0,1,13,0
75.12,80.09,83.26,67.23,88.36,65.83,79.33,56.1,3,3,6,3,2
99.5,100.0,93.97,90.03,100.0,100.0,98.5,88.0,1,0,0,3,0
78.44,86.08,89.71,100.0,100.0,91.47,88.22,75.4,2,2,3,9,1
92.88,100.0,99.35,99.35,90.05,94.78,95.6,89.4,4,0,1,8,0
39.55,34.48,35.85,66.28,65.23,63.87,54.03,7.4,3,2,6,11,2
41.73,45.3,47.04,58.91,57.82,45.55,46.35,33.9,2,7,5,13,2
65.72,65.28,72.62,57.56,68.8,57.57,69.64,17.2,10,1,5,7,2
99.5,95.03,100.0,100.0,100.0,100.0,100.0,79.4,0,0,3,6,0
44.65,52.93,43.85,55.79,71.69,67.24,69.22,56.8,1,6,2,10,2
75.32,71.24,73.94,99.22,81.21,77.65,71.65,72.6,3,2,8,13,2
93.96,88.87,95.04,63.51,81.76,66.83,67.14,44.5,6,1,0,13,1
99.5,100.0,99.56,88.17,100.0,90.68,96.0,106.4,1,0,0,3,0
99.5,95.38,99.7,80.8,90.59,68.07,88.02,77.5,2,0,0,10,0
83.93,89.4,88.05,100.0,100.0,91.72,83.0,107.2,2,2,2,12,1
49.88,48.8,45.52,48.56,64.46,47.36,38.02,27.2,6,1,6,12,2
99.5,96.03,100.0,86.92,100.0,89.68,87.51,101.2,1,0,4,7,0
85.75,87.93,86.95,83.76,96.95,88.14,74.76,84.4,1,1,4,7,1
99.5,100.0,99.51,98.83,95.65,97.85,100.0,65.7,1,0,0,4,0
89.74,92.24,87.09,66.79,74.51,51.23,54.29,7.0,3,2,2,8,2
96.17,100.0,96.66,85.58,89.85,94.42,80.2,78.7,5,0,1,6,1
45.64,33.08,44.61,57.07,70.57,51.28,44.21,18.9,0,2,5,3,2
79.39,77.69,79.7,64.45,76.67,73.35,54.78,45.3,3,2,2,10,2
77.38,70.27,77.51,64.71,82.66,60.49,47.27,46.4,2,0,3,9,1
78.63,81.71,79.66,90.65,92.24,88.57,80.79,66.6,4,0,2,5,1
76.71,88.69,81.62,77.24,81.88,52.13,71.66,32.6,2,1,2,8,1
50.04,48.66,42.95,52.65,69.68,66.62,48.71,16.1,5,3,6,9,2
73.61,70.23,73.89,75.81,88.94,71.27,81.06,55.7,5,3,4,9,2
99.5,94.8,96.93,100.0,100.0,100.0,83.68,93.3,3,0,4,7,0
99.5,100.0,100.0,89.9,99.85,81.3,67.67,53.4,4,0,7,2,2
94.5,97.98,87.22,100.0,96.5,94.27,100.0,123.4,1,0,3,12,0
84.34,82.16,93.65,95.33,91.24,95.16,80.76,83.5,0,1,1,12,0
91.42,95.24,93.16,65.47,88.73,76.93,75.54,69.6,3,0,1,9,1
69.47,75.35,73.55,86.52,84.04,79.67,69.85,63.1,5,3,3,10,2
99.5,100.0,100.0,100.0,100.0,100.0,100.0,110.1,2,0,2,10,0
75.01,67.74,70.98,75.83,89.93,61.39,82.84,59.8,4,1,4,12,2
79.74,90.04,85.34,78.12,79.93,66.3,64.02,57.7,5,0,2,10,1
30.43,29.1,34.68,49.17,63.7,33.47,29.01,38.6,6,2,10,10,2
67.04,69.61,68.73,50.95,79.63,47.68,39.41,46.7,3,2,4,6,2
80.39,81.89,84.39,88.39,90.64,100.0,88.77,82.1,2,1,4,7,1
88.89,79.43,88.38,69.97,65.56,68.27,46.31,27.6,7,0,2,5,2
99.5,100.0,100.0,100.0,100.0,100.0,100.0,95.4,0,0,4,2,0
49.87,26.4,48.36,24.15,45.85,29.86,5.0,5.0,6,2,6,7,2
64.76,62.42,65.28,72.2,75.21,76.73,73.01,53.4,5,1,3,13,2
77.75,66.28,73.08,47.39,70.51,56.8,47.86,28.3,7,0,0,3,2
91.7,95.29,92.9,93.01,98.41,88.4,81.29,103.2,2,1,6,6,2
77.65,73.82,77.83,58.66,75.05,66.21,45.99,36.8,4,1,5,6,2
66.48,61.71,59.26,54.83,64.84,51.64,47.61,15.7,2,3,2,5,2
56.98,46.66,58.66,45.94,71.91,49.24,48.21,5.0,8,5,6,2,2
77.04,67.97,72.62,86.78,79.21,73.68,69.89,52.9,2,0,4,13,1
85.92,83.06,84.46,100.0,97.56,100.0,100.0,103.9,2,1,3,10,1
85.58,93.09,83.22,95.31,94.13,100.0,93.63,75.9,2,1,2,6,0
62.69,67.93,65.12,86.51,87.47,83.57,93.76,79.3,3,1,7,3,2
99.5,95.05,92.39,96.06,99.96,100.0,100.0,106.8,1,0,4,8,0
95.68,100.0,90.59,98.98,92.39,88.69,80.21,71.2,4,0,2,7,0
76.38,81.07,75.24,80.57,77.37,67.17,60.08,44.4,5,0,3,2,2
44.16,27.94,37.01,39.04,65.08,38.5,36.92,18.8,8,5,8,5,2
47.44,48.81,44.53,70.55,72.79,77.82,71.67,74.2,6,3,4,3,2
71.85,74.19,73.88,77.11,95.9,79.45,76.68,84.4,0,0,3,6,1
65.76,63.45,69.79,48.45,75.5,47.21,50.74,11.4,3,2,4,3,2
70.12,76.3,73.34,95.51,96.68,95.03,88.22,103.3,0,1,3,3,1
62.7,69.68,56.49,81.21,86.27,72.69,63.51,57.3,5,3,2,13,2
99.5,100.0,99.62,92.06,99.86,95.74,100.0,76.2,1,0,1,5,0
71.09,71.14,73.43,64.2,75.46,71.32,57.42,24.8,3,3,4,11,2
78.69,78.23,77.04,61.3,69.83,58.06,43.94,23.4,3,0,3,7,2
71.8,86.97,78.83,92.84,92.72,94.12,88.07,83.3,2,2,4,3,1
99.5,100.0,100.0,100.0,100.0,100.0,100.0,101.0,0,0,3,12,0
24.39,8.0,13.76,55.17,38.93,41.59,35.52,5.0,6,1,12,12,2
90.45,100.0,98.9,87.59,100.0,100.0,100.0,61.6,1,0,3,3,0
96.4,93.21,94.03,90.09,100.0,100.0,96.07,97.0,3,0,4,5,0
71.53,71.46,70.19,100.0,94.63,100.0,100.0,82.6,4,4,5,5,2
99.5,100.0,100.0,100.0,100.0,98.93,100.0,100.3,2,0,1,9,0
33.75,19.65,21.97,77.04,77.04,60.54,51.2,40.6,5,4,5,12,2
63.13,66.13,69.33,70.94,83.48,84.9,73.34,62.0,6,4,6,9,2
91.13,86.05,85.27,90.38,99.13,94.95,90.74,76.2,3,0,3,4,1
39.45,36.4,45.53,58.79,63.25,39.16,37.19,5.2,3,2,3,7,2
87.43,100.0,96.71,82.5,100.0,74.96,92.27,79.2,6,1,4,2,1
69.82,62.82,63.12,88.29,76.15,83.41,89.2,76.4,3,1,8,4,2
85.31,73.56,82.18,97.21,83.31,98.19,81.51,53.6,0,1,2,6,0
58.69,57.29,54.33,55.7,74.32,71.33,53.96,16.9,2,3,1,5,2
97.94,96.52,93.02,99.39,97.88,89.22,85.12,87.5,5,0,2,6,1
99.5,100.0,89.7,100.0,100.0,97.64,100.0,86.2,4,0,0,13,0
90.89,97.41,95.9,88.97,95.04,76.74,83.13,78.4,2,3,2,2,1
39.69,33.58,35.54,37.41,51.76,37.53,38.22,26.9,3,6,0,3,2
34.9,32.62,37.18,37.47,62.9,45.12,26.34,12.8,8,4,9,7,2
59.24,58.72,59.94,65.47,84.42,72.42,63.52,39.6,4,1,1,8,2
43.08,38.52,36.48,51.69,60.69,35.84,42.38,5.0,6,1,7,7,2
44.63,45.09,48.17,84.62,74.51,81.28,61.17,80.7,4,2,10,11,2
57.48,54.07,58.26,82.67,84.45,72.16,63.58,25.1,2,1,6,3,2
99.5,100.0,97.77,100.0,98.1,96.79,85.14,74.1,3,0,1,11,0
83.28,88.13,89.02,69.61,81.86,66.98,61.25,51.4,5,2,1,8,2
66.71,63.38,64.36,74.59,93.26,85.78,90.43,41.8,2,0,3,5,1
98.79,100.0,96.11,75.89,93.88,83.26,84.49,50.3,4,1,2,12,1
99.5,100.0,98.93,89.61,95.38,91.71,91.8,97.0,1,0,2,13,0
85.91,84.89,84.04,94.15,96.42,100.0,99.88,65.9,4,0,4,5,1
99.5,100.0,93.75,100.0,100.0,100.0,100.0,76.5,3,0,2,9,0
59.84,54.71,47.35,50.33,61.85,42.07,42.92,10.1,6,2,1,13,2
99.5,100.0,100.0,98.64,94.47,74.86,88.25,44.6,1,0,1,4,0
99.5,100.0,100.0,100.0,100.0,100.0,100.0,124.7,1,0,0,3,0
30.36,27.05,35.02,67.5,72.37,70.53,57.82,39.1,5,4,9,5,2
83.86,93.07,90.97,84.16,97.08,91.92,88.79,73.0,0,1,2,6,0
99.5,100.0,98.03,95.98,100.0,95.04,74.9,75.4,1,0,0,7,0
57.3,74.46,63.12,67.48,69.12,51.24,61.81,53.7,2,4,4,2,2
62.93,63.16,60.55,76.18,68.6,72.18,75.91,39.2,2,2,1,3,2
93.75,93.33,95.76,89.14,100.0,92.18,83.26,47.0,5,2,4,11,1
95.94,96.07,97.88,100.0,86.94,97.22,83.96,61.3,2,1,3,3,0
62.3,55.75,58.44,87.02,74.09,72.72,52.32,63.0,3,1,2,11,2
50.42,44.06,49.76,64.15,69.67,71.56,64.04,29.1,3,7,8,11,2
70.56,70.54,75.19,75.4,74.99,74.6,90.22,43.5,3,1,3,4,2
59.97,55.29,58.18,60.46,74.07,75.16,66.12,48.1,3,0,6,6,2
92.5,100.0,90.7,95.61,92.95,100.0,100.0,80.4,0,0,6,2,2
90.25,100.0,95.78,100.0,100.0,100.0,100.0,117.4,0,1,3,11,0
99.5,100.0,94.8,92.94,91.54,96.16,99.3,75.8,2,0,1,11,0
82.48,83.16,79.5,83.87,100.0,91.75,76.33,91.9,2,1,2,8,1
87.43,100.0,93.31,92.36,100.0,96.12,96.92,101.0,1,0,2,12,0
84.82,99.19,92.75,100.0,100.0,98.47,85.94,91.2,0,0,4,2,0
66.06,80.7,72.0,75.45,82.73,90.15,90.73,91.0,4,1,5,11,2
77.11,74.94,72.23,90.15,86.55,89.36,82.29,69.0,4,0,3,6,1
99.5,100.0,100.0,82.8,100.0,99.91,92.22,80.1,3,0,4,2,0
58.02,54.61,54.63,83.35,77.22,94.16,76.36,75.2,1,3,5,3,2
90.13,100.0,95.7,85.57,96.46,89.11,88.36,76.6,3,1,2,2,1
58.66,63.89,58.31,100.0,93.94,100.0,100.0,102.3,3,2,5,6,2
99.5,100.0,95.93,100.0,100.0,100.0,96.69,100.3,1,0,3,12,0
99.5,100.0,99.9,100.0,100.0,98.15,94.3,82.9,2,0,3,9,0
35.51,34.53,33.37,49.71,55.5,52.76,36.55,37.3,3,5,8,4,2
76.38,81.26,78.61,88.4,91.01,100.0,100.0,104.3,1,1,2,11,0
93.83,100.0,93.55,74.3,82.23,68.83,63.95,38.3,3,1,3,13,1
71.5,68.02,70.72,54.58,61.51,49.21,41.33,23.2,4,2,2,4,2
80.07,94.16,82.43,86.08,84.83,69.11,83.56,60.2,2,2,3,9,1
56.07,59.19,61.56,80.29,79.31,76.02,72.29,33.8,1,6,6,3,2
71.37,68.74,71.56,85.07,85.05,82.06,86.25,94.3,3,1,6,8,2
55.7,61.13,57.26,76.51,80.58,76.23,82.87,50.2,2,4,12,4,2
98.65,100.0,99.1,99.33,100.0,94.68,94.85,96.9,2,0,3,9,0
65.72,50.07,58.26,42.2,61.27,33.89,19.99,5.0,3,4,3,3,2
54.67,59.87,57.12,79.9,80.73,76.22,85.69,64.5,3,3,3,9,2
92.37,94.49,99.17,94.43,100.0,100.0,94.44,88.0,1,2,2,8,0
84.94,89.99,84.58,100.0,100.0,98.78,88.06,104.4,0,0,2,12,0
87.24,87.46,87.96,65.25,83.34,71.94,83.49,56.1,1,2,1,10,1
54.32,34.9,43.87,63.34,65.58,64.33,60.76,42.9,4,3,6,6,2
71.18,69.1,60.46,80.53,88.25,73.93,65.43,63.3,1,4,4,13,2
27.5,27.3,29.88,45.08,54.85,49.07,19.92,6.9,6,8,9,12,2
72.67,69.09,75.62,62.85,67.9,56.82,58.69,31.2,3,0,2,4,2
74.4,60.33,70.8,76.84,72.8,75.62,84.21,67.2,4,0,4,9,2
76.01,66.89,81.88,39.9,58.72,42.45,24.69,5.0,7,0,4,8,2
79.86,89.34,82.02,94.22,91.2,94.75,92.2,85.6,3,3,3,7,1
99.5,99.46,95.9,91.3,90.21,89.99,70.92,50.7,1,0,2,2,0
47.28,36.77,48.02,42.57,47.62,41.65,35.17,8.2,7,3,7,3,2
68.36,64.47,71.87,73.99,81.37,74.03,66.77,59.2,2,3,2,4,2
87.64,99.0,96.35,95.88,96.69,100.0,93.22,89.5,2,0,0,4,0
53.87,47.87,47.27,83.6,82.04,80.27,58.79,29.4,2,6,4,3,2
81.06,84.47,79.56,81.93,78.95,71.02,68.87,62.1,10,0,0,3,1
44.16,38.3,35.37,62.9,70.84,48.05,59.94,27.2,5,1,7,2,2
93.49,100.0,100.0,77.01,79.13,76.57,55.0,68.5,2,1,3,12,1
99.5,95.63,94.35,71.31,85.18,69.67,74.09,59.8,1,1,0,13,0
95.7,91.35,89.22,97.56,88.84,75.52,86.97,90.2,1,0,3,4,0
99.5,100.0,99.27,89.14,93.94,100.0,100.0,49.5,3,0,2,5,0
72.3,72.8,72.96,60.5,81.91,64.64,66.9,28.6,3,0,7,2,2
35.04,32.85,36.87,65.75,62.72,52.11,50.26,34.0,8,1,9,8,2
85.56,97.48,89.57,94.63,90.67,97.04,95.16,85.8,1,3,3,5,1
83.71,77.61,78.68,74.68,89.65,85.79,77.12,40.8,2,0,1,13,1
99.5,92.43,95.23,58.89,81.86,83.65,64.97,32.2,3,0,0,3,0
74.53,83.77,75.62,73.57,76.69,68.8,66.29,51.9,0,0,5,13,2
78.1,78.46,83.81,57.78,73.58,56.54,42.98,37.2,5,0,3,2,2
94.24,95.54,94.71,100.0,100.0,92.41,100.0,53.3,1,1,1,12,0
77.38,69.85,77.06,100.0,96.98,89.0,85.64,109.1,1,0,3,13,1
90.72,83.32,87.07,62.33,93.83,81.19,89.13,65.7,1,0,1,5,0
99.5,99.34,92.13,100.0,100.0,100.0,91.94,106.9,1,0,1,8,0
39.38,30.31,42.51,52.06,60.89,54.83,45.17,45.6,3,5,6,11,2
84.2,89.76,88.63,97.17,100.0,90.64,85.12,63.5,1,0,2,4,0
75.53,71.66,75.61,100.0,93.15,100.0,98.9,92.8,2,0,4,10,1
37.78,23.6,23.91,46.56,50.4,29.29,12.87,5.0,3,1,8,9,2
91.53,87.64,89.49,100.0,100.0,90.02,100.0,97.6,3,0,3,10,0
98.51,100.0,100.0,97.86,100.0,100.0,100.0,111.1,2,0,1,12,0
87.97,100.0,97.73,84.25,100.0,90.36,92.56,68.1,0,0,5,8,2
80.52,88.93,82.85,79.74,78.12,77.19,83.14,42.0,7,3,1,4,2
87.62,95.99,95.68,92.23,96.26,96.0,87.6,63.9,0,2,1,9,0
89.2,89.77,95.7,97.81,100.0,79.56,91.5,88.5,1,1,1,5,0
99.5,97.1,97.97,95.12,100.0,87.7,85.89,81.3,0,0,0,12,0
90.4,89.78,95.44,82.33,88.5,81.64,70.43,38.2,1,0,2,7,0
69.21,56.82,69.59,64.13,85.02,63.29,57.21,56.7,4,2,4,6,2
66.56,65.75,69.61,68.16,53.42,56.87,43.59,6.8,4,2,4,2,2
95.09,97.0,99.56,100.0,100.0,71.63,87.62,61.1,3,0,1,12,0
99.5,100.0,96.2,88.59,100.0,100.0,89.21,88.7,2,0,2,4,0
80.5,68.05,78.91,87.06,83.0,74.55,62.83,57.9,2,4,3,7,2
47.23,42.22,44.83,43.38,66.64,58.95,51.39,27.9,7,2,9,6,2
43.86,40.57,39.0,74.39,62.24,68.91,61.4,52.5,6,4,6,3,2
80.06,76.85,84.92,84.38,98.62,100.0,85.45,63.0,5,1,3,10,1
83.74,88.84,85.21,92.17,91.89,98.02,95.79,86.4,3,1,3,8,1
85.85,92.35,89.26,100.0,100.0,100.0,100.0,106.2,2,1,2,11,0
75.52,79.04,77.42,83.82,89.39,70.03,64.93,72.0,3,3,5,2,2
73.01,78.39,68.83,77.51,86.36,66.05,75.56,52.5,4,2,4,13,2
74.76,74.27,73.39,100.0,99.1,100.0,100.0,73.6,0,0,1,4,0
99.5,100.0,100.0,100.0,100.0,97.94,100.0,114.9,3,1,3,7,0
99.5,100.0,99.75,77.84,95.96,99.29,85.33,57.5,1,0,2,13,0
70.85,84.53,74.64,96.88,90.52,88.92,91.36,68.2,3,1,3,3,1
99.5,100.0,100.0,89.61,100.0,93.94,84.93,90.0,2,1,0,8,0
62.29,57.03,64.59,55.1,68.86,53.25,67.95,52.0,2,1,2,8,2
85.52,86.48,79.35,96.53,91.16,89.42,81.49,85.8,2,2,5,13,2
54.34,48.51,51.7,45.24,57.34,45.16,36.71,5.0,3,1,4,6,2
99.5,95.82,98.18,93.68,99.87,93.86,100.0,72.0,2,0,1,7,0
56.68,43.49,58.75,55.94,62.19,40.94,45.06,17.5,3,6,3,2,2
42.92,28.77,42.37,35.09,54.43,33.71,29.15,5.0,5,3,4,2,2
65.28,39.59,50.0,46.02,70.09,46.53,27.97,5.0,4,0,4,8,2
54.25,49.11,57.66,88.8,86.23,81.85,74.65,82.3,5,1,5,5,2
75.5,69.81,72.74,61.93,76.0,46.82,56.15,50.5,2,1,3,13,2
87.28,100.0,85.68,97.51,100.0,93.99,87.96,64.4,2,1,5,5,2
74.79,65.3,65.81,66.33,69.65,56.34,46.92,30.4,4,0,3,2,2
97.07,100.0,100.0,81.84,98.42,93.94,70.03,53.1,3,0,2,4,0
74.13,72.23,75.22,70.5,88.11,65.4,70.87,69.4,3,2,2,6,2
72.93,77.99,70.92,87.08,96.1,92.91,78.63,53.3,4,2,4,9,2
25.24,10.43,25.95,62.3,57.71,42.53,48.8,5.0,4,6,5,7,2
86.15,77.63,85.75,95.36,90.28,100.0,69.93,94.4,1,0,2,3,0
94.56,100.0,95.61,82.15,94.68,83.06,75.5,80.6,1,1,1,4,0
88.27,82.18,87.15,88.69,91.64,92.96,81.29,52.0,2,0,3,4,1
99.5,100.0,96.18,83.05,92.94,76.65,67.09,68.6,1,0,0,11,0
96.84,97.46,100.0,99.19,93.71,86.76,88.93,70.8,1,1,4,3,0
89.37,81.25,81.54,71.7,90.44,64.81,56.61,18.1,4,1,1,3,1
89.82,90.46,84.91,86.16,85.71,95.64,85.25,57.3,2,2,2,12,1
62.87,77.68,69.27,83.58,73.33,83.43,82.19,67.9,1,1,6,7,2
86.7,80.58,95.9,66.03,75.31,69.11,56.39,63.4,3,4,2,12,2
81.58,82.0,76.11,85.69,86.66,95.14,81.07,90.8,4,3,4,11,2
89.99,100.0,97.06,92.13,84.15,83.04,90.85,101.5,1,1,1,2,0
99.5,100.0,99.97,100.0,100.0,100.0,90.35,101.6,3,0,3,8,0
87.92,100.0,94.11,96.28,91.42,98.38,85.68,79.6,2,1,3,2,0
84.71,96.22,93.65,88.68,91.24,86.19,84.96,78.1,5,1,3,8,1
60.01,51.51,54.04,50.15,67.35,59.24,69.64,41.2,4,1,6,2,2
64.53,66.33,64.18,33.78,56.35,40.94,41.57,5.0,3,3,3,8,2
86.92,75.83,79.95,85.28,81.08,79.15,85.22,78.1,1,1,1,7,1
99.5,100.0,100.0,92.89,100.0,100.0,100.0,91.3,2,0,1,2,0
84.23,78.41,87.11,75.42,90.65,66.73,58.82,75.0,1,0,2,5,1
51.24,46.58,44.97,38.89,58.0,29.72,38.02,5.0,5,1,5,12,2
61.74,77.71,69.33,85.73,83.52,80.66,79.56,59.7,3,2,9,4,2
69.12,56.76,68.62,80.16,83.87,67.14,78.16,38.1,3,3,7,4,2
